################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.4533146116610913E-01 a       422     0    15     1     2
  1.1305314118477236E-01 a       423     0    15     1     3
 -2.5497216225886954E-01 a       424     0    15     1     4
 -5.3513280205772296E-01 a       425     0    15     1     5
 -2.7787190599510836E-01 a       426     0    15     1     6
  1.6159583954668302E-01 a       427     0    15     1     7
  2.7556182630288117E-01 a       428     0    15     1     8
 -5.0219290731150101E-01 a       429     0    15     1     9
 -8.8526181964028089E-02 a       430     0    15     1    10
 -2.0483522491178077E-01 a       431     0    15     1    11
  6.2214623829821916E-02 a       432     0    15     1    12
 -3.4218084588859737E-01 a       433     0    15     1    13
 -1.8223475384150648E-02 a       434     0    15     1    14
  4.7477698469432636E-03 a       435     0    15     1    15
 -3.1063476310239807E-01 a       436     0    15     1    16
 -2.8965735979219376E-01 a       437     0    15     1    17
 -3.5177233109660411E-01 a       438     0    15     1    18
  3.6192119388758121E-01 a       439     0    15     1    19
  2.9477619980999975E-01 a       440     0    15     1    20
  6.3024291863962367E-01 a       441     0    15     1    21
 -1.9721137423572307E-01 a       442     0    15     1    22
  2.3562776078118214E-01 a       443     0    15     1    23
 -9.1970093822307708E-01 a       444     0    15     1    24
 -1.9431464641293911E-01 a       445     0    15     1    25
  6.2143800644547142E-01 a       446     0    15     1    26
 -9.7095604091892343E-02 a       447     0    15     1    27
 -6.8020402437500696E-02 a       448     0    15     1    28
  8.0200616719155945E-03 a       449     0    15     1    29
  4.9067092873550694E-01 a       450     0    15     1    30
  8.9485963540731717E-01 a       451     0    16     1     1
 -4.3746684096068383E-01 a       452     0    16     1     2
 -4.5649935646852935E-01 a       453     0    16     1     3
  3.3884334420154233E-01 a       454     0    16     1     4
  3.4545414279515285E-01 a       455     0    16     1     5
 -6.1899642629471008E-01 a       456     0    16     1     6
  5.4937603622301534E-01 a       457     0    16     1     7
 -1.4061808204497678E-01 a       458     0    16     1     8
 -9.6442934403064520E-02 a       459     0    16     1     9
 -4.1324850025883841E-01 a       460     0    16     1    10
  7.4400623247777603E-02 a       461     0    16     1    11
 -1.6245805717562303E-01 a       462     0    16     1    12
 -1.0628337043500669E-01 a       463     0    16     1    13
  4.5671972029417424E-01 a       464     0    16     1    14
 -1.2787829892797800E+00 a       465     0    16     1    15
  2.7256991691255039E-01 a       466     0    16     1    16
 -1.8056669436671000E-01 a       467     0    16     1    17
 -3.4658069684107778E-01 a       468     0    16     1    18
 -2.1973621036524180E-01 a       469     0    16     1    19
  6.2945935804021330E-02 a       470     0    16     1    20
  1.0392467630927429E+00 a       471     0    16     1    21
  2.2136515544374052E-01 a       472     0    16     1    22
  1.0872906307971337E+00 a       473     0    16     1    23
 -2.3104739419360094E-02 a       474     0    16     1    24
 -1.3712389677192721E-01 a       475     0    16     1    25
 -2.0105425997878806E-01 a       476     0    16     1    26
 -1.0305678031662872E-01 a       477     0    16     1    27
 -6.2772333112895606E-01 a       478     0    16     1    28
  5.6856982187455130E-01 a       479     0    16     1    29
  1.2604495798713553E+00 a       480     0    16     1    30
  3.8568637892009905E-01 a       481     0    17     1     1
  7.6722421422100928E-01 a       482     0    17     1     2
  1.1177195928344475E-02 a       483     0    17     1     3
  3.3102796300929292E-02 a       484     0    17     1     4
  1.0124406676544689E-01 a       485     0    17     1     5
  9.2094491530377875E-01 a       486     0    17     1     6
 -1.0677462588478501E+00 a       487     0    17     1     7
  1.1991522095867298E-01 a       488     0    17     1     8
 -2.6677360008537759E-01 a       489     0    17     1     9
  4.5345146642031896E-02 a       490     0    17     1    10
  1.6015737945711647E-01 a       491     0    17     1    11
  3.5552310501340739E-01 a       492     0    17     1    12
  2.5590348395218006E+00 a       493     0    17     1    13
  3.9368764965038672E-01 a       494     0    17     1    14
  3.3816505248598477E-01 a       495     0    17     1    15
 -3.9934587471062716E-01 a       496     0    17     1    16
  7.0453340982689838E-01 a       497     0    17     1    17
  4.1107460725468192E-01 a       498     0    17     1    18
  1.6100446418975015E-01 a       499     0    17     1    19
  6.5444317151762421E-01 a       500     0    17     1    20
 -1.4196344996411689E-01 a       501     0    17     1    21
  6.4207759451844171E-01 a       502     0    17     1    22
